baselineWT_1	24hrsWT_1	30hrsWT_1	40hrsWT_1	48hrsWT_1	96hrsWT_1	7daysWT_1	4wksWT_1
ENSMUSG00000001128	5.29497	5.47022666666667	5.50896	4.04859666666667	7.11936	8.90835666666667	10.4231233333333	4.70495
ENSMUSG00000001131	0.0268172666666667	3.60668666666667	3.673035	3.26608333333333	1.534275	0.0962907666666667	0.554376666666667	0.42475
ENSMUSG00000001134	22.0862333333333	25.1025666666667	30.89375	27.5087333333333	24.24825	31.2989666666667	24.2216333333333	23.4457
ENSMUSG00000001138	3.09666333333333	3.38962333333333	3.093905	4.07423	4.24058	1.40059333333333	3.16666333333333	4.36189666666667
ENSMUSG00000001143	4.05999666666667	7.25464666666667	6.04881	5.17105333333333	5.106345	4.05835666666667	4.31106	5.57127
ENSMUSG00000001150	3.05626	3.64309666666667	3.447605	3.92976333333333	4.50373	2.19812666666667	3.02968333333333	2.97104666666667
ENSMUSG00000001151	0.764709333333333	0.722972666666667	1.0161005	2.37687	2.13624	0.440959333333333	0.817435666666667	0.734291333333333
ENSMUSG00000001155	191.859	117.534666666667	103.346	123.817	112.57235	188.247333333333	177.32	193.413
ENSMUSG00000001156	1.15456033333333	0.898217333333333	0.929804	1.011015	0.7894535	0.857979333333333	0.996228	1.09585
ENSMUSG00000001157	3.63866	3.34566	3.6291	4.00335333333333	4.27816	3.43228	3.16961666666667	3.70082
ENSMUSG00000001158	13.3612666666667	12.6080666666667	13.5286	12.8052333333333	14.0541	16.5762333333333	14.7922666666667	12.6789333333333
ENSMUSG00000001166	0.3257	0.416531	0.192671	0.233758666666667	0.2380885	0.317199333333333	0.35536	0.506680333333333
ENSMUSG00000001168	0	0	0	0	0	0.0117306666666667	0	0.00776586666666667
ENSMUSG00000001173	1.29455433333333	1.29298333333333	1.24885	1.21027166666667	1.42755	0.975702333333333	1.37371	1.29372666666667
ENSMUSG00000001175	47.7977	79.8066333333333	60.58275	70.0458666666667	72.15595	66.1067	38.9383	41.396
ENSMUSG00000001211	62.2169333333333	117.683	119.9295	110.879666666667	99.54045	57.2056	70.0061	66.7894666666667
ENSMUSG00000001225	0.0443868	0	0	0.0227405333333333	0.0362186	0.0112985333333333	0.0256046	0.0175573333333333
ENSMUSG00000001227	0.727440666666667	0.938305333333333	0.834198	1.19353666666667	1.7802	0.708651666666667	0.610524333333333	0.508181
ENSMUSG00000001228	0.187054	0.781542	8.127165	18.0662066666667	5.403415	0.106440966666667	0.679939333333333	0.122191033333333
ENSMUSG00000001229	10.63818	18.1244666666667	12.6842	15.8989666666667	19.26385	6.37169	10.15499	14.1952
ENSMUSG00000001240	7.17007	7.91356666666667	8.689785	10.6769533333333	11.13475	5.6751	7.62654666666667	6.12536
ENSMUSG00000001247	63.1630333333333	72.1965666666667	78.64955	70.5008333333333	97.2711	45.4663666666667	83.0428333333333	66.3640333333333
ENSMUSG00000001248	3.04376333333333	3.54071333333333	4.02363	4.50949	5.89285	3.43897666666667	4.41336	3.16409666666667
ENSMUSG00000001249	213.824666666667	213.4	210.4825	200.932666666667	219.8505	149.522333333333	233.976666666667	213.934333333333
ENSMUSG00000001260	0	0	0	0	0.0070205	0	0	0
ENSMUSG00000001270	1.80685333333333	4.77379666666667	3.73306	3.83486	4.38439	1.75044	3.73964333333333	2.41988666666667
ENSMUSG00000001280	3.71801	4.32915	3.435615	5.25029	3.747435	3.70483333333333	3.35899333333333	3.54408333333333
ENSMUSG00000001281	0.179279666666667	0.163786333333333	0.1616425	0.258653666666667	0.201267	0.218605666666667	0.425163666666667	0.226731666666667
ENSMUSG00000001285	14.9207666666667	13.0334333333333	16.7747	23.8688333333333	19.34925	11.44145	15.1034666666667	15.2461333333333
ENSMUSG00000001288	0.983234666666667	1.46512	1.740905	1.39123333333333	1.606125	0.843488	1.55944	1.138292
ENSMUSG00000001289	77.142	80.3571	73.76125	77.4611	72.6549	114.876	84.7855666666667	89.7788333333333
ENSMUSG00000001300	0.377521	0.230524333333333	0.1827325	0.326041333333333	0.32363	0.301169333333333	0.217012666666667	0.255886666666667
ENSMUSG00000001305	4.75316	7.24219333333333	7.119055	6.12597	7.161	5.23698666666667	5.68936	6.85795666666667
ENSMUSG00000001313	7.3807	13.8489	11.32475	9.21752666666667	8.189365	9.84035666666667	8.05404333333333	7.43128666666667
ENSMUSG00000001323	29.4365333333333	34.4385	30.63855	25.9151333333333	26.71435	26.4437333333333	24.6640666666667	29.1788333333333
ENSMUSG00000001333	0	0.0331395666666667	0	0.0182835666666667	0.0261859	0.0081929	0.0188958333333333	0.0194074666666667
ENSMUSG00000001334	0.122232566666667	0.0480450333333333	0.0990815	0.0619045333333333	0.08256835	0.116601333333333	0.108831466666667	0.058311
ENSMUSG00000001348	71.9359666666667	40.7442333333333	41.80085	52.1810666666667	58.73485	75.0314666666667	73.6664666666667	78.0491333333333
ENSMUSG00000001349	0.0854886	0.0781132333333333	0	0.0259740666666667	0.13906255	0.0818983333333333	0.0553787	0.0804265
ENSMUSG00000001366	29.2304	31.6283	30.71565	33.8253333333333	32.29155	26.7925333333333	32.4784	30.1135666666667
